Insertion

200;0.002084;0.002066;0.002212;0.001825;0.002449;0.001892;0.002527;0.002413;0.003046;0.002004;
300;0.004978;0.00737;0.006336;0.00815;0.005263;0.007407;0.005639;0.006709;0.005242;0.005094;
400;0.011238;0.015178;0.014521;0.020038;0.014703;0.015132;0.015352;0.014102;0.015279;0.016414;
500;0.026715;0.024106;0.024896;0.021088;0.017964;0.020506;0.018065;0.020071;0.018923;0.018072;
600;0.031748;0.027999;0.03804;0.026859;0.026708;0.02982;0.031515;0.030265;0.03684;0.041042;
700;0.049434;0.04529;0.049021;0.037961;0.041977;0.037937;0.042038;0.041081;0.037158;0.036341;
800;0.060869;0.051133;0.05094;0.05072;0.051521;0.053027;0.049096;0.050291;0.048001;0.053306;
900;0.069068;0.06657;0.067874;0.064322;0.064623;0.108954;0.06915;0.064115;0.069405;0.066576;
1000;0.087388;0.079789;0.081341;0.084498;0.08066;0.083649;0.08872;0.075808;0.077518;0.07899;

Finding the smallest

1000;0.000188;0.000113;0.000111;0.000111;0.000112;0.000113;0.000118;0.000201;0.000138;0.000112;
2000;0.000234;0.000235;0.000241;0.000251;0.000228;0.000233;0.000236;0.000285;0.000232;0.000234;
3000;0.000401;0.000435;0.00035;0.000452;0.000349;0.000358;0.000349;0.000361;0.000434;0.00043;
4000;0.000512;0.000492;0.000476;0.000473;0.000526;0.000533;0.000494;0.000547;0.000557;0.00048;
5000;0.000591;0.00072;0.000627;0.00131;0.000582;0.000676;0.002163;0.000592;0.000607;0.000923;
6000;0.000826;0.000727;0.000742;0.000843;0.000903;0.001612;0.000836;0.000866;0.00072;0.000852;
7000;0.001109;0.000912;0.001333;0.001321;0.000882;0.001063;0.000943;0.000888;0.000905;0.001318;
8000;0.001262;0.001875;0.000954;0.000935;0.001013;0.000945;0.00094;0.000941;0.000948;0.001721;
9000;0.00106;0.001072;0.001262;0.00106;0.001063;0.001053;0.001107;0.001512;0.001427;0.001278;
10000;0.001284;0.00117;0.001276;0.001216;0.001185;0.001195;0.001176;0.001177;0.001467;0.001193;
